# time      EVENT                DETAILS
---------------------------------------------
2.708   NEW_ACK             Ack=245281
2.708   TX-DATA             Seq=264261 Size=1460
2.708   TX-DATA             Seq=265721 Size=1460
2.710   NEW_ACK             Ack=246741
2.710   TX-DATA             Seq=267181 Size=1460
2.710   TX-DATA             Seq=268641 Size=1460
2.713   NEW_ACK             Ack=248201
2.713   TX-DATA             Seq=270101 Size=1460
2.713   TX-DATA             Seq=271561 Size=1460
2.715   NEW_ACK             Ack=249661
2.715   TX-DATA             Seq=273021 Size=1460
2.715   TX-DATA             Seq=274481 Size=1460
2.718   NEW_ACK             Ack=251121
2.718   TX-DATA             Seq=275941 Size=1460
2.718   TX-DATA             Seq=277401 Size=1460
2.720   NEW_ACK             Ack=252581
2.720   TX-DATA             Seq=278861 Size=1460
2.720   TX-DATA             Seq=280321 Size=1460
2.723   NEW_ACK             Ack=254041
2.723   TX-DATA             Seq=281781 Size=1460
2.723   TX-DATA             Seq=283241 Size=1460
2.725   NEW_ACK             Ack=255501
2.725   TX-DATA             Seq=284701 Size=1460
2.725   TX-DATA             Seq=286161 Size=1460
2.728   NEW_ACK             Ack=256961
2.728   TX-DATA             Seq=287621 Size=1460
2.728   TX-DATA             Seq=289081 Size=1460
2.730   NEW_ACK             Ack=258421
2.730   TX-DATA             Seq=290541 Size=1460
2.730   TX-DATA             Seq=292001 Size=1460
2.732   NEW_ACK             Ack=259881
2.732   TX-DATA             Seq=293461 Size=1460
2.732   TX-DATA             Seq=294921 Size=1460
2.735   NEW_ACK             Ack=261341
2.735   TX-DATA             Seq=296381 Size=1460
2.735   TX-DATA             Seq=297841 Size=1460
2.737   NEW_ACK             Ack=262801
2.737   STATE_CHANGE        SlowStart -> CongestionAvoidance [Reason: cwnd >= ssthresh]
2.737   TX-DATA             Seq=299301 Size=1460
2.737   TX-DATA             Seq=300761 Size=1460
2.740   NEW_ACK             Ack=264261
2.740   TX-DATA             Seq=302221 Size=1460
2.755   NEW_ACK             Ack=265721
2.755   TX-DATA             Seq=303681 Size=1460
